Time(hh:mm:ss),Elapsed Time,Voltage1,Voltage2,Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,19:04:38",336,-0.01,-0.017,,,,
"06-Jun-16,19:04:39",337,-0.011,-0.017,,,,
"06-Jun-16,19:04:40",338,-0.014,-0.014,,,,
"06-Jun-16,19:04:41",339,-0.014,-0.014,,,,
"06-Jun-16,19:04:42",340,-0.013,-0.01,,,,
"06-Jun-16,19:04:43",341,-0.008,-0.011,,,,
"06-Jun-16,19:04:44",342,-0.014,-0.011,,,,
"06-Jun-16,19:04:45",343,-0.011,-0.011,,,,
"06-Jun-16,19:04:46",344,-0.008,-0.011,,,,
"06-Jun-16,19:04:47",345,-0.01,-0.013,,,,
"06-Jun-16,19:04:48",346,-0.007,-0.01,,,,
"06-Jun-16,19:04:49",347,0,-0.01,,,,
"06-Jun-16,19:04:50",348,0.001,-0.016,,,,
"06-Jun-16,19:04:51",349,-0.003,-0.008,,,,
"06-Jun-16,19:04:52",350,-0.007,-0.01,,,,
"06-Jun-16,19:04:53",351,-0.004,-0.007,,,,
"06-Jun-16,19:04:54",352,-0.007,-0.007,,,,
"06-Jun-16,19:04:55",353,-0.01,-0.013,,,,
"06-Jun-16,19:04:56",354,-0.001,-0.014,,,,
"06-Jun-16,19:04:57",355,-0.004,-0.018,,,,
"06-Jun-16,19:04:58",356,-0.004,-0.013,,,,
"06-Jun-16,19:04:59",357,-0.006,-0.008,,,,
"06-Jun-16,19:05:00",358,-0.007,-0.006,,,,
"06-Jun-16,19:05:01",359,-0.006,-0.01,,,,
"06-Jun-16,19:05:02",360,-0.008,-0.008,,,,
"06-Jun-16,19:05:03",361,-0.007,-0.014,,,,
"06-Jun-16,19:05:04",362,-0.008,-0.014,,,,
"06-Jun-16,19:05:05",363,-0.003,-0.014,,,,
"06-Jun-16,19:05:06",364,-0.007,-0.011,,,,
"06-Jun-16,19:05:07",365,-0.008,-0.01,,,,
"06-Jun-16,19:05:08",366,-0.006,-0.014,,,,
"06-Jun-16,19:05:09",367,-0.01,-0.01,,,,
"06-Jun-16,19:05:10",368,-0.01,-0.01,,,,
"06-Jun-16,19:05:11",369,-0.011,-0.013,,,,
"06-Jun-16,19:05:12",370,-0.008,-0.014,,,,
"06-Jun-16,19:05:13",371,-0.01,-0.014,,,,
"06-Jun-16,19:05:14",372,-0.011,-0.01,,,,
"06-Jun-16,19:05:15",373,-0.011,-0.014,,,,
"06-Jun-16,19:05:16",374,-0.008,-0.016,,,,
"06-Jun-16,19:05:17",375,-0.011,-0.013,,,,
"06-Jun-16,19:05:18",376,-0.007,-0.013,,,,
"06-Jun-16,19:05:19",377,-0.013,-0.01,,,,
"06-Jun-16,19:05:20",378,-0.008,-0.01,,,,
"06-Jun-16,19:05:21",379,-0.006,-0.008,,,,
"06-Jun-16,19:05:22",380,-0.011,-0.008,,,,
"06-Jun-16,19:05:23",381,-0.007,-0.01,,,,
"06-Jun-16,19:05:24",382,-0.011,-0.014,,,,
"06-Jun-16,19:05:25",383,-0.008,-0.014,,,,
"06-Jun-16,19:05:26",384,-0.008,-0.014,,,,
"06-Jun-16,19:05:27",385,-0.013,-0.013,,,,
"06-Jun-16,19:05:28",386,-0.007,-0.003,,,,
"06-Jun-16,19:05:29",387,-0.007,-0.007,,,,
"06-Jun-16,19:05:30",388,-0.004,-0.004,,,,
"06-Jun-16,19:05:31",389,-0.007,-0.001,,,,
"06-Jun-16,19:05:32",390,-0.006,-0.004,,,,
"06-Jun-16,19:05:33",391,-0.006,-0.006,,,,
"06-Jun-16,19:05:34",392,-0.01,-0.01,,,,
"06-Jun-16,19:05:35",393,-0.008,-0.013,,,,
"06-Jun-16,19:05:36",394,-0.008,-0.014,,,,
"06-Jun-16,19:05:37",395,-0.006,-0.013,,,,
"06-Jun-16,19:05:38",396,-0.008,-0.013,,,,
"06-Jun-16,19:05:39",397,-0.004,-0.008,,,,
"06-Jun-16,19:05:40",398,-0.01,-0.014,,,,
"06-Jun-16,19:05:41",399,-0.006,-0.011,,,,
"06-Jun-16,19:05:42",400,-0.01,-0.011,,,,
